1/5     ½ð±Ò 20000

1/80   ²Ø±¦Í¼13
1/80   ²Ø±¦Í¼14
1/80   ²Ø±¦Í¼15
1/80   ²Ø±¦Í¼18
1/80   ²Ø±¦Í¼19
1/80   ²Ø±¦Í¼20
1/80   ²Ø±¦Í¼21
1/80   ²Ø±¦Í¼24
1/80   ²Ø±¦Í¼25
1/80   ²Ø±¦Í¼26
1/80   ²Ø±¦Í¼27
1/80   ²Ø±¦Í¼28
1/80   ²Ø±¦Í¼47
1/80   ²Ø±¦Í¼48
1/80   ²Ø±¦Í¼49
1/80   ²Ø±¦Í¼50
1/80   ²Ø±¦Í¼51
1/80   ²Ø±¦Í¼52
1/80   ²Ø±¦Í¼55
1/80   ²Ø±¦Í¼56
1/80   ²Ø±¦Í¼57
1/80   ²Ø±¦Í¼58
1/80   ²Ø±¦Í¼59
1/80   ²Ø±¦Í¼86
1/80   ²Ø±¦Í¼87
1/80   ²Ø±¦Í¼88
1/80   ²Ø±¦Í¼89
1/80   ²Ø±¦Í¼92
1/80   ²Ø±¦Í¼93
1/80   ²Ø±¦Í¼94
1/80   ²Ø±¦Í¼95
1/80   ²Ø±¦Í¼98
1/80   ²Ø±¦Í¼99
1/80   ²Ø±¦Í¼80
