;引擎插件禁止物品配置文件
;物品名称	扔	交易	存	修	升级	出售	禁止爆出	死亡必爆	死亡消失
气血石(小)	0	0	0	1	0	0	0	0	0
气血石(中)	0	0	0	1	0	0	0	0	0
气血石(大)	0	0	0	1	0	0	0	0	0
气魔石(小)	0	0	0	1	0	0	0	0	0
气魔石(中)	0	0	0	1	0	0	0	0	0
气魔石(大)	0	0	0	1	0	0	0	0	0
魔血石(小)	0	0	0	1	0	0	0	0	0
魔血石(中)	0	0	0	1	0	0	0	0	0
魔血石(大)	0	0	0	1	0	0	0	0	0
至尊天绝	1	1	1	1	1	1	0	0	0
帝王御马	1	1	1	1	0	1	0	0	0
游龙剑	0	0	0	1	0	0	0	0	0
传送符	0	0	0	1	0	0	0	0	0
诅咒符	0	0	0	1	0	0	0	0	0
火龙之心	0	0	0	1	0	0	0	0	0
锦囊	1	1	0	0	0	0	0	0	0
经验石[40级]	1	1	1	1	0	1	1	0	0
经验石[55级]	1	1	1	1	0	1	1	0	0
经验石[70级]	1	1	1	1	0	1	1	0	0
御赐灵石	0	0	0	0	0	0	0	0	1
护身符(大)	0	0	0	0	0	0	1	0	0
灰色药粉(大量)	0	0	0	0	0	0	1	0	0
黄色药粉(大量)	0	0	0	0	0	0	1	0	0
